name,price,brand,description,quantity,featured,image_url,kind,category,country_origin
Supersonic Fuzz Gun,486,Death By Audio,"The Supersonic Fuzz Gun is a completely unique and different take on a fuzz pedal made with the extreme manipulator in mind. The controls interact with each other in amazing and interesting ways to create a huge array of gated and oscillating fuzz sounds. It can scream, it can blast, it can implode, it can doom, and it can gloom. Possible sounds vary from relatively straightforward distorted guitar to shards of total insanity. ",200,FALSE,"https://images.reverb.com/image/upload/s--IUHBhM9V--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1469546693/ohqjisze8vfpdl0xfgb7.jpg",premium,Fuzz,United States
Empress Heavy Distortion,296,Empress,"Built with a dual-channel design, shared two-band EQ, and an optional two mode gated feature, the Empress Heavy Distortion is a double barrel shotgun full of big, mean sound. Immensely customizable, the two channels can be altered with non-gated, natural, or aggressive gate modes as well as an mid frequency focus dialing in big, bold attack, Whether you're holding down the fort in a metal band or looking to expand your sonic arsenal, the Heavy is laden with possibility.",200,FALSE,"https://images.reverb.com/image/upload/s--62cA-pXQ--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1468620323/yovd2jrgo8zemmn5qzo4.jpg",premium,Distortion,Canada
Hoof Reaper Dual Fuzz,354,EarthQuaker Devices,EarthQuaker Devices Hoof Reaper V2 Dual Fuzz Octave Guitar Effect Pedal NEW The Hoof Reaper™ features our popular Hoof™ and Tone Reaper™ fuzz pedals in one handy enclosure with the added bonus of an old school analog octave up. It was originally released as a special limited run item back in 2010 and demand was so high that we decided to reintroduce it back into our line. Capable of creating everything from subtle octave-up overtones through crushing octave squalls that simulate exploding stacks of amps. Each effect can be used individually as well as in series but the order of effects is preset for optimum performance.,200,FALSE,"https://images.reverb.com/image/upload/s--BlFT9ZPX--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1516126695/wnzqivbl9rbj3qwuakj5.jpg",premium,Fuzz,United States
Delay Workstation,359,Keeley,"The Keeley Delay Workstation brings a smorgasbord of 16 total effect types for a nearly endless amount of mixing and matching, as well as total creative control. Build on a DSP platform with a dual-channel design, this pedal features two banks of eight effects: one for delay, one for reverb. The result is the option to cross slapback with shimmer, tape delay with a flanged reverb, and pitch-shifted delay with a chamber for both familiar and experimental soundscapes. Not only one of the most expansive creative tools in the company's arsenal, this is a delay enthusiast's dream come true.",200,FALSE,"https://images.reverb.com/image/upload/s--jLCL20d_--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1477416151/b2nyyq9rqew3agsbol2r.png",premium,Delay,United States
Delay Llama Xtreme,491,JAM Pedals,"JAM Pedals Delay Llama Xtreme The Delay Llama XTREME introduces new functionality and exciting features to our Delay Llama series, challenging preconceived notions of what an analog delay pedal can do. Featuring 3 x 3205 BBD chips and a thoughtful layout, the Delay Llama XTREME appeals to traditional delay users and sound explorers alike.It comes equipped with 4 presets, 800ms of max. delay time, tap tempo w/ subdivisions, hold function, kill-dry, trails (buffered) OR true bypass modes, delay time expression pedal / CV input, remote tap tempo input and remote preset selection input. ",200,TRUE,"https://images.reverb.com/image/upload/s--mk2mhoEX--/f_auto,t_supersize/v1588880931/wwtt0ej4ig0mjh794sqd.jpg",premium,Delay,Greece
Field Marshall Fuzz,292,ThorpyFX,"What we think…..The combined skills of Adrian Thorpe and the esteemed Dan Coggins has already been incredibly fruitful and to say that this pedal was hotly anticipated here at ATB would be an understatement. We love the fuzz here and the Lovetone Big Cheese are held in high regard with original examples fetching increasingly higher prices. Like the original, this delivers fuzzy goodness in abundance, everthying from smooth square wave to something much more glitchy. Coupled with the three position tone stack, bypass-able with a the ‘Cheese’ footswitch, there is a whole world of distorted fun to be had. Housed in the now standard pedalboard friendly rugged steel case, coupled with Thorpy’s unwavering attention to detail is the icing on the cake. ",200,FALSE,"https://images.reverb.com/image/upload/s--8fS3NS3c--/f_auto,t_supersize/v1589231689/gtqv3zgteeuhrfbehqn9.jpg",premium,Fuzz,United Kingdom
Empress Multidrive,388,Empress,"With the Empress Multidrive, you can blend multiple amps together without having to lug multiple amps around. This pedal gives you the capability to blend overdrive, distortion, and fuzz sounds together for a myriad of complex, rich tones. It's an entirely analog signal path that helps you mix together classic fuzz, vintage overdrive, and a three-mode distortion, as well as shape tone with its comprehensive EQ.",200,FALSE,"https://images.reverb.com/image/upload/s--ZYkcOztb--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_620,q_90,w_620/v1441308298/abuiikwxnpwio9rwbgse.jpg",premium,Distortion,Canada
Nebula Fuzz/Octave Blender,385,Spaceman,"The Nebula is a unique, multi-function stompbox, equipped with a dual-mode IC Fuzz circuit that not only can be blended with a high-octave signal from the circuit on the left, but also features a separate clean blend control, allowing users to coax up to three tones from the noisebox at once.",200,FALSE,"https://images.reverb.com/image/upload/s--XuEwhygc--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1531774660/ev5zfwf8exkjwxcw43nw.jpg",premium,Fuzz,United States
Plasma Pedal High Voltage Distortion,350,Gamechanger Audio,"For those who want to leave the earthly plane of overdrives and distortions and ride the lightning into uncharted sonic territory, the Gamechanger Audio Plasma Pedal High Voltage Distortion Unit should be your preferred means of transportation. Built around a xenon-filled tube that transform's your guitar's signal into high-voltage discharges, the Plasma Pedal forgoes circuits and transistors for a novel approach to distortion that yields rich non-linear harmonic saturation and enough juice to knock Zeus off of Olympus.",200,FALSE,"https://images.reverb.com/image/upload/s--gUA751R0--/f_auto,t_supersize/v1538154504/wngjjxprrhganfopd1y6.jpg",premium,Distortion,United States
REVV G3 Distortion,371,REVV,"The REVV G3 is a distortion pedal based on the ""purple channel"" of the brands most revered amp models. In addition to volume and gain controls and a three-band EQ, the G3 packs a three-position ""aggression"" toggle that adjusts the amount of gain and overall character of the drive. Though primed largely for full-bore metal tones, the G3 is an extremely versatile drive that can play nicely in just about any rig.",200,FALSE,"https://images.reverb.com/image/upload/s--hHqd_aU8--/f_auto,t_supersize/v1541353715/jzxbwb5e3l8iphgrzjry.jpg",premium,Distortion,Canada
Riverside Multistage Drive,494,Strymon,"The Strymon Riverside Multi-Stage Drive directs the company's eye for attention on the world of the overdrive, providing a pedal that captures a world of dirt in one chassis. Combining the company's coveted DSP technology with analog circuitry throughout four gain stages, the Riverside employs variable circuit tuning to nail that sweet spot whether you're after a warm, bluesy edge or a searing modern distortion. Laid out in an intuitive interface with a three-band EQ positioned after the gain stages for maximum tone shaping, the pedal does the work of multiple overdrives while providing total control over your tone.",200,FALSE,"https://images.reverb.com/image/upload/s--S6kTOz3A--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1481561974/wzogzxxwyssgbwqut6iw.png",premium,Overdrive,United States
Sunset Dual Overdrive,381,Strymon,"The Strymon Sunset Dual Overdrive is a stompbox that packs a wealth of overdrive tones into a pedalboard-friendly enclosure. Comprised of two fully customizable overdrive pedals in one, players can choose to engage any of the six types of circuits that the pedal models independently or stack any two for complementary sonic expression. Even better, Strymon has meticulously crafted an EQ for the Sunset Dual Overdrive that's stripped down to a single knob, making it easily tweakable on the fly.",200,FALSE,"https://images.reverb.com/image/upload/s--6JMt5DKE--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1491395109/n3lrvbgryb1rgdcs6luu.jpg",premium,Overdrive,United States
Sweet Tea Overdrive,262,JHS,"The Sweet Tea V3 is our ""Everything Medium-to-High gain 2-in-1” and it covers all the bases from light breakup, blues, rock, heavy grind and more. The Sweet Tea V3 is for anyone who wants a versatile overdrive/distortion that covers all the bases you need plus more. You’ll find medium-to-high gain tones and the ability to stack for the perfect sounds to melt faces. The right side is our brand new Moonshine V2 which is a highly unique and massively tweaked version of the most famous overdrive ever created, housed in a little green enclosure. The Moonshine V2 has the classic mid-heavy tones that you’d expect but with more gain, volume, and tones available than you ever thought possible. The Moonshine V2 has the same core sound as the Moonshine Version 1 but we have added a new “Clean” knob to blend in the perfect amount of clean signal with your overdrive signal. ",200,FALSE,"https://images.reverb.com/image/upload/s--aw_ffuw_--/f_auto,t_supersize/v1543608366/zqgz39zk9b2ejuqsutnt.png",premium,Overdrive,United States
Timeline Delay,477,Strymon,"The Strymon Timeline Delay pedal is more of a workstation than a traditional pedal, providing the sort of granular control and processing power that's more commonly found in studios than on home pedalboards. Normally sold only direct from Strymon brand new, mint used specimens pop up frequently on Pedal Platform, and run out quickly. Grab a Strymon Timeline while you can and check back to see the latest deals.",200,FALSE,"https://images.reverb.com/image/upload/s--qiU7msjX--/f_auto,t_supersize/v1587485449/jmnb8htshuvx0khsnvsa.jpg",premium,Delay,United States
The Veteran Fuzz,442,ThorpyFX,"Employing three hand-selected silicon transistors to summon Rangemaster-style buzz with more nuance and control, ThorpyFX's The Veteran (Si) serves a versatile range of classic treble-boosted fuzz with the control to dial in a spectrum of tone. Stacked in a two-switch chassis independently operating the fuzz and boost, The Veteran lets you crank the aggression with a Bias knob, dial in velvety buzz with a Smooth knob, and stack and boost and fuzz for a doom-bring wave of fuzzy bliss. ",200,FALSE,"https://images.reverb.com/image/upload/s--CJZWUF2T--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1508785687/hudbtxhm0iemxcjalwxl.jpg",premium,Fuzz,United Kingdom
